Sample,SetupCpuTicks,StopCpuTicks,CleanupCpuTicks,SetupKernelTicks,StopKernelTicks,CleanupKernelTicks,LatencyTicks
24579,680,1200,10,0,0,0,117815
24580,680,1230,10,0,0,0,121200
24581,1420,2660,30,0,0,0,172135
24582,2210,2660,20,0,0,0,169292
24583,2160,2620,20,0,0,0,166557
24584,2150,3060,30,500,0,0,189302
24585,2160,2690,20,0,0,0,172346
24586,2150,2630,20,0,0,0,168010
24587,2160,2740,30,0,0,0,180527
24588,2180,2630,20,0,0,0,168441
24589,2160,2590,30,0,0,0,165054
24590,2160,2610,20,0,470,0,167289
24591,2430,2650,20,2430,2650,20,169672
24592,2180,2630,20,2180,2630,20,168701
24593,2140,2620,20,750,730,10,168029
24594,2160,2770,20,610,0,0,182221
