Sample,Start,Release,Resume,HandlerEnd,Return,End,Gen0Before,Gen0After,Gen2Before,Gen2After,ThreadsBefore,ThreadsAfter
195,156037878866,156037894566,156037896621,156038775323,156038798456,156038799228,9,9,9,9,4,4
196,156039062857,156039079889,156039084145,156039935617,156039945425,156039945976,9,9,9,9,4,4
197,156040225365,156040243609,156040246225,156041058794,156041077127,156041077858,9,9,9,9,4,4
198,156041340426,156041357508,156041365955,156042235941,156042246080,156042246601,9,9,9,9,4,4
199,156042454457,156042471038,156042476508,156043390465,156043411084,156043411765,9,9,9,9,4,4
200,156043673782,156043690102,156043716429,156044513650,156044535160,156044535861,9,9,9,9,4,4
201,156045171983,156045200997,156045209544,156046083117,156046104396,156046105118,9,9,9,9,4,4
202,156046364981,156046382142,156046405414,156047209457,156047231028,156047231689,9,9,9,9,4,4
203,156047499105,156047515917,156047529193,156048451436,156048472926,156048473607,9,9,9,9,4,4
204,156048737938,156048755781,156048764586,156049517735,156049527904,156049528465,9,9,9,9,4,4
205,156049721603,156049733766,156049737733,156050624000,156050645019,156050645680,9,9,9,9,4,4
206,156050894332,156050910652,156050915142,156051784236,156051794615,156051795197,9,9,9,9,4,4
207,156052000849,156052036976,156052042716,156052900500,156052921459,156052922170,9,9,9,9,4,4
208,156053186922,156053202851,156053204873,156054113281,156054134821,156054135542,9,9,9,9,4,4
209,156054400023,156054416895,156054426264,156055234615,156055244914,156055245445,9,9,9,9,4,4
210,156055454293,156055472166,156055476192,156056381584,156056402864,156056403475,9,9,9,9,4,4
211,156056661504,156056679888,156056687875,156057487550,156057497799,156057498360,9,9,9,9,4,4
212,156057703270,156057719961,156057725029,156058598191,156058619942,156058620613,9,9,9,9,4,4
213,156058868633,156058884503,156058889063,156059810404,156059832455,156059833097,9,9,9,9,4,4
214,156060693054,156060711999,156060714302,156061520629,156061543251,156061544053,10,10,10,10,4,4
215,156061805789,156061823181,156061836338,156062704961,156062715320,156062715851,10,10,10,10,4,4
216,156062924519,156062941390,156062947010,156063820673,156063842123,156063842784,10,10,10,10,4,4
217,156064105883,156064121803,156064123855,156064985054,156065026070,156065026782,10,10,10,10,4,4
218,156065269914,156065285713,156065287768,156066148998,156066170959,156066171640,10,10,10,10,4,4
219,156066420041,156066435590,156066437823,156067361438,156067383079,156067383760,10,10,10,10,4,4
220,156067643893,156067662227,156067670735,156068419896,156068429955,156068430526,10,10,10,10,4,4
221,156068630086,156068642469,156068646537,156069432897,156069442836,156069443417,10,10,10,10,4,4
222,156069650432,156069667373,156069669796,156070579396,156070603590,156070604332,10,10,10,10,4,4
223,156070884041,156070901814,156070906244,156071707482,156071729223,156071729894,10,10,10,10,4,4
224,156071989847,156072028088,156072031072,156072787717,156072798106,156072798698,10,10,10,10,4,4
225,156073023185,156073039866,156073042302,156073892752,156073915013,156073915684,10,10,10,10,4,4
226,156074217575,156074235498,156074237711,156075050480,156075071910,156075072651,10,10,10,10,4,4
227,156075331182,156075349295,156075353114,156076150686,156076172536,156076173227,10,10,10,10,4,4
228,156076437979,156076455962,156076459538,156077271886,156077293607,156077294238,10,10,10,10,4,4
229,156077559220,156077576041,156077580401,156078368455,156078390375,156078391007,10,10,10,10,4,4
230,156078651821,156078668843,156078673490,156079489305,156079511035,156079511687,10,10,10,10,4,4
231,156079774114,156079791466,156079794854,156080599879,156080621700,156080622331,10,10,10,10,4,4
232,156080880851,156080898173,156080902570,156081706112,156081727843,156081728484,10,10,10,10,4,4
233,156081989158,156082025536,156082029204,156082779408,156082789336,156082789927,10,10,10,10,4,4
234,156082995720,156083033630,156083036323,156083903414,156083925204,156083925926,10,10,10,10,4,4
235,156084225843,156084243626,156084246262,156084988972,156084998720,156084999231,10,10,10,10,4,4
236,156085285112,156085303506,156085306560,156086076039,156086086028,156086086569,10,10,10,10,4,4
237,156086291269,156086307199,156086309916,156087173359,156087195150,156087195791,10,10,10,10,4,4
238,156087468978,156087485188,156087487371,156088369680,156088391200,156088391861,10,10,10,10,4,4
239,156088660049,156088677181,156088679326,156089553109,156089574750,156089575421,10,10,10,10,4,4
240,156089857585,156089875358,156089877761,156090633505,156090643593,156090644124,10,10,10,10,4,4
241,156090850388,156090867079,156090869505,156091738138,156091759628,156091760279,10,10,10,10,4,4
242,156092024780,156092042103,156092044345,156092789659,156092799728,156092800269,10,10,10,10,4,4
243,156093024546,156093041487,156093043723,156093846865,156093868365,156093869066,10,10,10,10,4,4
244,156094141142,156094159896,156094162770,156094910679,156094920067,156094920608,10,10,10,10,4,4
245,156095208082,156095225243,156095227890,156095980438,156095989855,156095990396,10,10,10,10,4,4
246,156096775074,156096792927,156096796332,156097671227,156097694430,156097695091,11,11,11,11,4,4
247,156097983757,156098002021,156098004547,156098769308,156098779497,156098780088,11,11,11,11,4,4
248,156098986451,156099002461,156099005074,156099879989,156099902822,156099903543,11,11,11,11,4,4
249,156100189364,156100206075,156100207940,156101086101,156101107942,156101108673,11,11,11,11,4,4
250,156101394214,156101412027,156101414830,156102225837,156102247878,156102248589,11,11,11,11,4,4
251,156102494696,156102511487,156102513833,156103280687,156103290586,156103291147,11,11,11,11,4,4
252,156103495136,156103511206,156103513759,156104382442,156104404103,156104404804,11,11,11,11,4,4
253,156104689332,156104707276,156104710483,156105511591,156105533021,156105533732,11,11,11,11,4,4
254,156105780951,156105798474,156105800807,156106606884,156106628775,156106629536,11,11,11,11,4,4
255,156106889769,156106906811,156106910830,156107680480,156107690418,156107690949,11,11,11,11,4,4
256,156107892894,156107909315,156107912429,156108782034,156108803885,156108804606,11,11,11,11,4,4
257,156109100426,156109118249,156109121346,156109866600,156109876378,156109876930,11,11,11,11,4,4
258,156110117787,156110133867,156110136841,156110886563,156110895951,156110896492,11,11,11,11,4,4
259,156111117733,156111135175,156111138272,156111991227,156112051537,156112052188,11,11,11,11,4,4
260,156112291002,156112306992,156112309288,156113181508,156113203208,156113203929,11,11,11,11,4,4
261,156113486764,156113505910,156113508643,156114305013,156114326453,156114327114,11,11,11,11,4,4
262,156114577268,156114593739,156114596686,156115405398,156115427209,156115427900,11,11,11,11,4,4
263,156115691029,156115707870,156115712387,156116469533,156116479452,156116480003,11,11,11,11,4,4
264,156116684583,156116701794,156116704341,156117581791,156117603421,156117604132,11,11,11,11,4,4
265,156117873803,156117889633,156117891625,156118762282,156118784032,156118784643,11,11,11,11,4,4
266,156119068581,156119085713,156119088740,156119948377,156119970297,156119970959,11,11,11,11,4,4
267,156120256940,156120275344,156120277607,156121039652,156121058028,156121058729,11,11,11,11,4,4
268,156121296401,156121312170,156121314923,156122182144,156122203393,156122204055,11,11,11,11,4,4
269,156122490066,156122507598,156122510195,156123320750,156123342371,156123343022,11,11,11,11,4,4
270,156123603165,156123620297,156123624453,156124385958,156124395796,156124396357,11,11,11,11,4,4
271,156124602069,156124617768,156124620194,156125498706,156125523041,156125523682,11,11,11,11,4,4
272,156125796369,156125812659,156125814671,156126682403,156126704564,156126705295,11,11,11,11,4,4
273,156126993431,156127012586,156127014712,156127780564,156127791244,156127791795,11,11,11,11,4,4
274,156128000603,156128035237,156128038061,156128898389,156128921412,156128922113,11,11,11,11,4,4
275,156129196553,156129213785,156129217333,156129987634,156129999847,156130000417,11,11,11,11,4,4
276,156130290136,156130307468,156130311865,156131093686,156131111652,156131112313,11,11,11,11,4,4
277,156131349804,156131365744,156131368407,156132244825,156132266184,156132266906,11,11,11,11,4,4
278,156133178279,156133198065,156133200742,156133947930,156133958459,156133959061,12,12,12,12,4,4
279,156134264317,156134281820,156134286637,156135040277,156135050366,156135050917,12,12,12,12,4,4
280,156135258282,156135274732,156135277740,156136149750,156136171840,156136172492,12,12,12,12,4,4
281,156136458573,156136476477,156136479330,156137287251,156137309943,156137310654,12,12,12,12,4,4
282,156137581878,156137598719,156137603299,156138413775,156138435726,156138436437,12,12,12,12,4,4
283,156138685680,156138702271,156138704714,156139514498,156139536388,156139537060,12,12,12,12,4,4
284,156139800229,156139817430,156139820297,156140581602,156140591550,156140592061,12,12,12,12,4,4
285,156140812490,156140829141,156140832335,156141704916,156141727017,156141727739,12,12,12,12,4,4
286,156142017216,156142034939,156142039770,156142799932,156142809850,156142810411,12,12,12,12,4,4
287,156143035008,156143051559,156143053721,156143905073,156143926793,156143927595,12,12,12,12,4,4
288,156144230057,156144248080,156144250466,156145022640,156145032899,156145033451,12,12,12,12,4,4
289,156145245494,156145261875,156145264177,156146132590,156146153920,156146154591,12,12,12,12,4,4
290,156146427318,156146443197,156146445273,156147309288,156147330938,156147331599,12,12,12,12,4,4
291,156147621738,156147640854,156147643297,156148458150,156148480752,156148481473,12,12,12,12,4,4
292,156148746155,156148763337,156148768358,156149527788,156149537797,156149538278,12,12,12,12,4,4
293,156149747156,156149763186,156149765749,156150631627,156150653257,156150653918,12,12,12,12,4,4
294,156150944428,156150963594,156150968124,156151762619,156151784680,156151785352,12,12,12,12,4,4
295,156152038241,156152054552,156152057255,156152810264,156152819631,156152820222,12,12,12,12,4,4
296,156153074585,156153091817,156153095215,156153849025,156153858563,156153859144,12,12,12,12,4,4
297,156154087167,156154104790,156154107644,156154962111,156154984753,156154985394,12,12,12,12,4,4
298,156155288046,156155305779,156155308616,156156099665,156156118368,156156119090,12,12,12,12,4,4
299,156156382008,156156398709,156156402898,156157193367,156157216279,156157216950,12,12,12,12,4,4
300,156157490959,156157507921,156157512468,156158319717,156158341337,156158342089,12,12,12,12,4,4
301,156158985854,156159003738,156159008618,156159774862,156159785091,156159785621,12,12,12,12,4,4
302,156159995772,156160031719,156160034322,156160907935,156160930456,156160931138,12,12,12,12,4,4
303,156161233259,156161251182,156161253699,156161992771,156162002349,156162002860,12,12,12,12,4,4
304,156162292057,156162310682,156162313005,156163091290,156163101198,156163101719,12,12,12,12,4,4
305,156163309696,156163325815,156163329053,156164191926,156164213586,156164214287,12,12,12,12,4,4
306,156164500960,156164518713,156164521426,156165329648,156165351448,156165352139,12,12,12,12,4,4
307,156165616280,156165634835,156165637722,156166429572,156166451012,156166451723,12,12,12,12,4,4
308,156166714151,156166731453,156166736010,156167560832,156167583574,156167584285,12,12,12,12,4,4
309,156167848857,156167865959,156167870509,156168627925,156168638095,156168638616,12,12,12,12,4,4
310,156169554066,156169572109,156169576285,156170339413,156170350213,156170350814,13,13,13,13,4,4
311,156170566996,156170584608,156170587956,156171454936,156171476607,156171477368,13,13,13,13,4,4
