phase,block,sample_end,samples,p50_ms,p95_ms,p99_ms,p999_ms,max_ms,over_1ms,over_5ms,elapsed_seconds,heap_bytes,rss_bytes,gen2,block_gen2,block_lifecycle_cpu_ms,block_wall_ms
B,59,5900,100,0.178635,0.199193,0.201943,0.206871,0.206871,0,0,3.3908704,4419520,63655936,187,3,50.855,31.94359999999996
B,60,6000,100,0.180879,0.226437,0.242427,0.245472,0.245472,0,0,3.4241995,5445264,63668224,190,3,54.36,33.3291
B,61,6100,100,0.178568,0.199925,0.205024,0.209713,0.209713,0,0,3.4565293,6462592,63668224,193,3,51.19,32.3298000000003
B,62,6200,100,0.17921,0.198065,0.204197,0.204784,0.204784,0,0,3.4890396,7486184,63668224,196,3,51.754,32.51029999999977
B,63,6300,100,0.178929,0.196091,0.198276,0.199534,0.199534,0,0,3.521522,8511704,63668224,199,3,51.549,32.48240000000013
B,64,6400,100,0.179336,0.198743,0.21682,0.253175,0.253175,0,0,3.5544355,1359776,63668224,203,4,51.803,32.913499999999814
B,65,6500,100,0.179527,0.197914,0.207429,0.221996,0.221996,0,0,3.5869461,2377184,63668224,206,3,51.746,32.51060000000017
B,66,6600,100,0.179196,0.1974,0.203475,0.212188,0.212188,0,0,3.6194187,3394968,63668224,209,3,51.692,32.472600000000185
B,67,6700,100,0.178909,0.197635,0.20252,0.20561,0.20561,0,0,3.6520291,4420664,63668224,212,3,51.774,32.610399999999814
B,68,6800,100,0.17931,0.197199,0.200125,0.205465,0.205465,0,0,3.6846136,5446256,63668224,215,3,51.806,32.58450000000002
B,69,6900,100,0.179356,0.198161,0.20086,0.208322,0.208322,0,0,3.7165001,6463776,63668224,218,3,49.868,31.88650000000015
B,70,7000,100,0.179289,0.198753,0.202219,0.212521,0.212521,0,0,3.7490016,7487272,63668224,221,3,51.611,32.501499999999965
B,71,7100,100,0.179466,0.197,0.198372,0.198657,0.198657,0,0,3.7813366,8512760,63668224,224,3,51.379,32.33499999999978
B,72,7200,100,0.17973,0.196728,0.199114,0.203816,0.203816,0,0,3.8142714,1360864,63668224,228,4,52.181,32.93480000000004
B,73,7300,100,0.179651,0.197671,0.208946,0.216857,0.216857,0,0,3.8472153,2377960,63668224,231,3,52.138,32.9438999999998
B,74,7400,100,0.21789,0.250061,0.262785,0.271091,0.271091,0,0,3.8868248,3395544,63586304,234,3,71.952,39.609500000000075
B,75,7500,100,0.178164,0.200179,0.202339,0.207328,0.207328,0,0,3.9187086,4421184,63684608,237,3,50.641,31.88380000000013
B,76,7600,100,0.17943,0.197069,0.198602,0.203736,0.203736,0,0,3.9512663,5446832,63684608,240,3,51.773,32.55769999999991
B,77,7700,100,0.179386,0.19759,0.200719,0.204888,0.204888,0,0,3.9839916,6464256,63684608,243,3,51.931,32.72530000000007
B,78,7800,100,0.1949,0.248668,0.253939,0.275368,0.275368,0,0,4.0214237,7487848,63598592,246,3,64.396,37.43209999999975
B,79,7900,100,0.203524,0.224313,0.229625,0.246383,0.246383,0,0,4.0538369,8516416,63696896,249,3,57.141,32.413200000000586
B,80,8000,100,0.205427,0.226046,0.231187,0.233949,0.233949,0,0,4.0877728,1361544,63696896,253,4,64.238,33.935899999999464
B,81,8100,100,0.206411,0.2285,0.234594,0.235653,0.235653,0,0,4.121823,2378224,63696896,256,3,63.704,34.05020000000025
B,82,8200,100,0.20684,0.233087,0.239373,0.253399,0.253399,0,0,4.1555721,3404360,63696896,259,3,63.98,33.74909999999964
